"","x"
"1",58082
"2",48500
"3",45723
"4",53662
"5",46723
"6",45070
"7",49782
"8",55437
"9",57672
"10",61121
"11",43857
"12",49819
"13",50750
"14",53589
"15",53812
"16",53575
"17",52339
"18",51115
"19",56529
"20",61498
"21",58757
"22",72876
"23",55999
"24",58374
"25",63885
"26",63287
"27",60027
"28",65795
"29",62850
"30",61908
"31",68108
"32",72639
"33",77105
"34",84996
"35",65488
"36",62178
"37",74750
"38",66085
"39",59711
"40",69304
"41",68357
"42",67133
"43",74545
"44",73623
"45",82071
"46",89533
"47",72117
"48",69004
"49",72681
"50",80214
"51",80744
"52",81643
"53",87599
"54",86213
"55",97495
"56",97841
"57",104953
"58",110353
"59",90415
"60",83875
"61",93160
"62",89539
"63",85021
"64",91314
"65",87036
"66",83731
"67",91047
"68",94552
"69",105628
"70",94743
"71",84954
"72",72535
"73",77898
"74",68418
"75",60609
"76",73703
"77",67298
"78",64375
"79",73550
"80",76887
"81",77538
"82",92233
"83",73267
"84",77779
"85",80634
"86",72736
"87",81475
"88",87595
"89",87386
"90",88874
"91",95145
"92",96991
"93",95186
"94",106122
"95",81173
"96",77941
"97",88576
"98",86372
"99",77850
"100",91188
"101",90547
"102",87803
"103",95264
"104",90054
"105",100544
"106",96302
"107",82402
"108",78297
"109",91847
"110",86235
"111",87557
"112",91139
"113",93116
"114",93855
"115",94172
"116",100003
"117",97051
"118",86785
"119",84849
"120",81682
"121",88273
"122",85645
"123",80121
"124",92187
"125",96409
"126",97609
"127",94971
"128",111356
"129",102049
"130",110838
"131",97596
"132",88747
"133",100882
"134",97801
"135",99312
"136",100163
"137",112241
"138",101667
"139",122227
"140",127548
"141",123216
"142",131987
"143",112248
"144",118140
"145",128127
"146",114529
"147",151671
"148",135476
"149",148513
"150",141155
"151",142314
"152",142144
"153",139774
"154",142715
"155",124773
"156",111401
"157",129554
"158",140624
"159",128378
"160",130208
"161",141051
"162",132299
"163",145779
"164",152341
"165",146552
"166",150930
"167",139732
"168",133423
"169",154363
"170",148374
"171",137392
"172",149258
"173",160086
"174",154738
"175",159570
"176",164496
"177",166885
"178",188369
"179",144181
"180",148121
"181",169758
"182",158890
"183",159699
"184",161691
"185",165828
"186",175617
"187",181875
"188",182883
